TŞ00383	KIZILKAYA DOMATES TOHUMU	2.456
TŞ00644	ŞELALE BİBER TOHUMU	62.442
TŞ00051	ALTİMA DOMATES TOHUMU	508
TŞ01053	TOMRİS DOMATES TOHUMU	575
TŞ00746	DOHKKO DOMATES ANACI TOHUMU	219.602
TY00239	TASCA PATLICAN TOHUMU	330
TŞ00829	ASUDE BİBER TOHUMU	70
TŞ00289	KUANTUM DOMATES TOHUMU	1.940
TŞ00621	PEYKAN KARPUZ TOHUMU	51.035
TŞ00897	PRESİDENTİAL MARUL TOHUMU	89.812
TŞ00552	DAVUT BİBER TOHUMU	2.000
TŞ00452	TOKLU DOMATES TOHUMU	600
TŞ00575	SAVANORA BİBER TOHUMU	53.618
TŞ00283	BOĞAÇ PATLICAN ANACI TOHUMU	69.855
TŞ00638	İMBAT BİBER TOHUMU	1.707
TŞ00057	GÜLPEMBE DOMATES TOHUMU	40.944
TŞ00091	AMİSOS HIYAR TOHUMU	11.307
TŞ00979	LOKMAN  BİBER TOHUMU	46.518
TY00488	EFSUN DOMATES TOHUMU	10
TŞ00103	CREMNA KABAK ANAÇ TOHUMU	542.580
TŞ00684	DUBLE KAVUN TOHUMU	644
TŞ00765	NEVA BİBER TOHUMU	36.408
TŞ00546	UG 464913 DOMATES TOHUMU	73.422
TŞ00143	CUMA DOMATES TOHUMU	201
TŞ00446	KARCAN PATLICAN TOHUMU	900
TŞ00718	SAYGI DOMATES TOHUMU	8.824
TŞ00395	ÖZÜM DOMATES TOHUMU	19.976
TŞ00716	KAPLAN BİBER TOHUMU	51.726
TŞ00372	BELLİSA (35-508) BİBER TOHUMU	36.712
TŞ00017	ERGEN DOMATES TOHUMU	23.455
TŞ00609	VELIT KABAK TOHUMU	3.700
TŞ00755	ARMANTY KARPUZ TOHUMU	14.121
TŞ00060	DOPİNK DOMATES TOHUMU	250
TŞ00912	LEROTA DOMATES TOHUMU	102.538
TŞ00558	EFSUN DOMATES TOHUMU	110.000
TŞ00131	AKRA BİBER TOHUMU	57
TŞ00280	EZ 9016 KAVUN TOHUMU	800
TY00253	TAKIL BİBER TOHUMU	4.750
TŞ00678	TOROS HIYAR TOHUMU	1.720
